report_date,region,area_cluster,station_id,total_delivery_vol,delivery_buyer
2024-09-14,NCR,NCR2 Metro Manila East,2384,10820,9115
2024-09-14,NCR,NCR2 Metro Manila East,2647,6789,5720
2024-09-14,NCR,NCR2 Metro Manila East,2680,10312,8664
2024-09-14,NOL,NOL5 Bulacan,903,13626,11374
2024-09-14,SOL,SOL1 Laguna/Tanay,20,8948,7641
2024-09-14,SOL,SOL2 Cavite,273,6882,5810
2024-09-14,SOL,SOL2 Cavite,1476,7812,6542
2024-09-14,SOL,SOL2 Cavite,1705,12897,10898
2024-09-14,SOL,SOL2 Cavite,2268,7654,6467
2024-09-15,NCR,NCR1 Metro Manila West,9,10639,8486
2024-09-15,NCR,NCR1 Metro Manila West,11,5995,5054
2024-09-15,NCR,NCR1 Metro Manila West,13,8118,6808
2024-09-15,NCR,NCR1 Metro Manila West,434,12934,10837
2024-09-15,NCR,NCR1 Metro Manila West,1707,10082,8480
2024-09-15,NCR,NCR1 Metro Manila West,1770,6742,5565
2024-09-15,NCR,NCR1 Metro Manila West,2180,6639,5448
2024-09-15,NCR,NCR1 Metro Manila West,2266,13476,11217
2024-09-15,NCR,NCR1 Metro Manila West,3062,7613,6315
2024-09-15,NCR,NCR2 Metro Manila East,7,10789,9145
2024-09-15,NCR,NCR2 Metro Manila East,18,11308,9563
2024-09-15,NCR,NCR2 Metro Manila East,19,6099,5139
2024-09-15,NCR,NCR2 Metro Manila East,1232,9652,8135
2024-09-15,NCR,NCR2 Metro Manila East,1242,9041,7392
2024-09-15,NCR,NCR2 Metro Manila East,1365,11354,9545
2024-09-15,NCR,NCR2 Metro Manila East,2201,12987,10753
2024-09-15,NCR,NCR2 Metro Manila East,2384,10137,8525
2024-09-15,NCR,NCR2 Metro Manila East,2647,6565,5497
2024-09-15,NCR,NCR2 Metro Manila East,2680,9877,8306
2024-09-15,NOL,NOL5 Bulacan,903,12544,10657
2024-09-15,SOL,SOL1 Laguna/Tanay,20,9381,7823
2024-09-15,SOL,SOL2 Cavite,273,6358,5363
2024-09-15,SOL,SOL2 Cavite,1476,7762,6431
2024-09-15,SOL,SOL2 Cavite,1705,11413,9685
2024-09-15,SOL,SOL2 Cavite,2268,7504,6309
2024-09-16,NCR,NCR1 Metro Manila West,9,9373,7763
2024-09-16,NCR,NCR1 Metro Manila West,11,5893,5032
2024-09-16,NCR,NCR1 Metro Manila West,13,6419,5589
2024-09-16,NCR,NCR1 Metro Manila West,434,12801,10735
2024-09-16,NCR,NCR1 Metro Manila West,1707,9941,8486
2024-09-16,NCR,NCR1 Metro Manila West,1770,9240,7445
2024-09-16,NCR,NCR1 Metro Manila West,2180,5674,4830
2024-09-16,NCR,NCR1 Metro Manila West,2266,11256,9692
2024-09-16,NCR,NCR1 Metro Manila West,3062,8911,7443
2024-09-16,NCR,NCR2 Metro Manila East,7,16537,13266
2024-09-16,NCR,NCR2 Metro Manila East,18,10648,9054
2024-09-16,NCR,NCR2 Metro Manila East,19,5600,4821
2024-09-16,NCR,NCR2 Metro Manila East,1232,8322,7112
2024-09-16,NCR,NCR2 Metro Manila East,1242,11465,9509
2024-09-16,NCR,NCR2 Metro Manila East,1365,12771,10826
2024-09-16,NCR,NCR2 Metro Manila East,2201,11888,9907
2024-09-16,NCR,NCR2 Metro Manila East,2384,9167,7855
2024-09-16,NCR,NCR2 Metro Manila East,2647,5118,4460
2024-09-16,NCR,NCR2 Metro Manila East,2680,8316,7217
2024-09-16,NOL,NOL5 Bulacan,903,10381,9060
2024-09-16,SOL,SOL1 Laguna/Tanay,20,7880,6805
2024-09-16,SOL,SOL2 Cavite,273,6076,5065
2024-09-16,SOL,SOL2 Cavite,1476,6365,5349
2024-09-16,SOL,SOL2 Cavite,1705,9854,8548
2024-09-16,SOL,SOL2 Cavite,2268,6370,5417
2024-09-17,NCR,NCR1 Metro Manila West,9,13553,10696
2024-09-17,NCR,NCR1 Metro Manila West,11,9547,7770
2024-09-17,NCR,NCR1 Metro Manila West,13,10442,8594
2024-09-17,NCR,NCR1 Metro Manila West,434,18914,15373
2024-09-17,NCR,NCR1 Metro Manila West,1707,15459,12655
2024-09-17,NCR,NCR1 Metro Manila West,1770,10894,8682
2024-09-17,NCR,NCR1 Metro Manila West,2180,9418,7487
2024-09-17,NCR,NCR1 Metro Manila West,2266,18036,14698
2024-09-17,NCR,NCR1 Metro Manila West,3062,11641,9348
2024-09-17,NCR,NCR2 Metro Manila East,7,16494,13701
2024-09-17,NCR,NCR2 Metro Manila East,18,13673,11296
2024-09-17,NCR,NCR2 Metro Manila East,19,9802,7922
2024-09-17,NCR,NCR2 Metro Manila East,1232,12548,10274
2024-09-17,NCR,NCR2 Metro Manila East,1242,15815,12572
2024-09-17,NCR,NCR2 Metro Manila East,1365,18267,14879
2024-09-17,NCR,NCR2 Metro Manila East,2201,12887,10733
2024-09-17,NCR,NCR2 Metro Manila East,2384,13742,11285
2024-09-17,NCR,NCR2 Metro Manila East,2647,9866,7935
2024-09-17,NCR,NCR2 Metro Manila East,2680,10647,8924
2024-09-17,NOL,NOL5 Bulacan,903,17131,14037
2024-09-17,SOL,SOL1 Laguna/Tanay,20,10552,8814
2024-09-17,SOL,SOL2 Cavite,273,7580,6155
2024-09-17,SOL,SOL2 Cavite,1476,9073,7373
2024-09-17,SOL,SOL2 Cavite,1705,13004,10850
2024-09-17,SOL,SOL2 Cavite,2268,8788,7237
2024-09-18,NCR,NCR1 Metro Manila West,9,14818,11617
2024-09-18,NCR,NCR1 Metro Manila West,11,9830,8133
2024-09-18,NCR,NCR1 Metro Manila West,13,12798,10393
2024-09-18,NCR,NCR1 Metro Manila West,434,17484,14491
2024-09-18,NCR,NCR1 Metro Manila West,1707,16219,13484
