report_date,region,area_cluster,station_id,rr_pu_vol,rr_users
2024-09-15,NCR,NCR1 Metro Manila West,434,110,85
2024-09-15,NCR,NCR1 Metro Manila West,1707,67,56
2024-09-15,NCR,NCR1 Metro Manila West,1770,46,41
2024-09-15,NCR,NCR1 Metro Manila West,2180,50,37
2024-09-15,NCR,NCR1 Metro Manila West,2266,78,67
2024-09-15,NCR,NCR1 Metro Manila West,3062,49,38
2024-09-15,NCR,NCR2 Metro Manila East,7,106,80
2024-09-15,NCR,NCR2 Metro Manila East,18,65,56
2024-09-15,NCR,NCR2 Metro Manila East,19,35,25
2024-09-15,NCR,NCR2 Metro Manila East,1232,53,44
2024-09-15,NCR,NCR2 Metro Manila East,1242,54,42
2024-09-15,NCR,NCR2 Metro Manila East,1365,83,66
2024-09-15,NCR,NCR2 Metro Manila East,2201,79,63
2024-09-15,NCR,NCR2 Metro Manila East,2384,66,53
2024-09-15,NCR,NCR2 Metro Manila East,2647,57,48
2024-09-15,NCR,NCR2 Metro Manila East,2680,61,53
2024-09-15,NOL,NOL5 Bulacan,903,72,62
2024-09-15,SOL,SOL1 Laguna/Tanay,20,50,43
2024-09-15,SOL,SOL2 Cavite,273,52,44
2024-09-15,SOL,SOL2 Cavite,1476,34,31
2024-09-15,SOL,SOL2 Cavite,1705,62,51
2024-09-15,SOL,SOL2 Cavite,2268,54,49
2024-09-16,NCR,NCR1 Metro Manila West,9,66,51
2024-09-16,NCR,NCR1 Metro Manila West,11,46,36
2024-09-16,NCR,NCR1 Metro Manila West,13,50,40
2024-09-16,NCR,NCR1 Metro Manila West,434,90,69
2024-09-16,NCR,NCR1 Metro Manila West,1707,64,49
2024-09-16,NCR,NCR1 Metro Manila West,1770,63,47
2024-09-16,NCR,NCR1 Metro Manila West,2180,51,43
2024-09-16,NCR,NCR1 Metro Manila West,2266,86,68
2024-09-16,NCR,NCR1 Metro Manila West,3062,56,45
2024-09-16,NCR,NCR2 Metro Manila East,7,142,94
2024-09-16,NCR,NCR2 Metro Manila East,18,75,57
2024-09-16,NCR,NCR2 Metro Manila East,19,59,43
2024-09-16,NCR,NCR2 Metro Manila East,1232,51,38
2024-09-16,NCR,NCR2 Metro Manila East,1242,115,86
2024-09-16,NCR,NCR2 Metro Manila East,1365,97,77
2024-09-16,NCR,NCR2 Metro Manila East,2201,123,99
2024-09-16,NCR,NCR2 Metro Manila East,2384,72,63
2024-09-16,NCR,NCR2 Metro Manila East,2647,62,56
2024-09-16,NCR,NCR2 Metro Manila East,2680,43,34
2024-09-16,NOL,NOL5 Bulacan,903,62,55
2024-09-16,SOL,SOL1 Laguna/Tanay,20,85,67
2024-09-16,SOL,SOL2 Cavite,273,38,30
2024-09-16,SOL,SOL2 Cavite,1476,31,25
2024-09-16,SOL,SOL2 Cavite,1705,80,67
2024-09-16,SOL,SOL2 Cavite,2268,89,71
2024-09-17,NCR,NCR1 Metro Manila West,9,57,45
2024-09-17,NCR,NCR1 Metro Manila West,11,49,40
2024-09-17,NCR,NCR1 Metro Manila West,13,63,52
2024-09-17,NCR,NCR1 Metro Manila West,434,137,107
2024-09-17,NCR,NCR1 Metro Manila West,1707,65,52
2024-09-17,NCR,NCR1 Metro Manila West,1770,51,36
2024-09-17,NCR,NCR1 Metro Manila West,2180,46,36
2024-09-17,NCR,NCR1 Metro Manila West,2266,94,77
2024-09-17,NCR,NCR1 Metro Manila West,3062,54,41
2024-09-17,NCR,NCR2 Metro Manila East,7,109,74
2024-09-17,NCR,NCR2 Metro Manila East,18,72,57
2024-09-17,NCR,NCR2 Metro Manila East,19,48,40
2024-09-17,NCR,NCR2 Metro Manila East,1232,51,37
2024-09-17,NCR,NCR2 Metro Manila East,1242,90,68
2024-09-17,NCR,NCR2 Metro Manila East,1365,56,48
2024-09-17,NCR,NCR2 Metro Manila East,2201,92,69
2024-09-17,NCR,NCR2 Metro Manila East,2384,43,38
2024-09-17,NCR,NCR2 Metro Manila East,2647,41,34
2024-09-17,NCR,NCR2 Metro Manila East,2680,53,36
2024-09-17,NOL,NOL5 Bulacan,903,58,46
2024-09-17,SOL,SOL1 Laguna/Tanay,20,60,49
2024-09-17,SOL,SOL2 Cavite,273,34,29
2024-09-17,SOL,SOL2 Cavite,1476,31,27
2024-09-17,SOL,SOL2 Cavite,1705,76,63
2024-09-17,SOL,SOL2 Cavite,2268,49,47
2024-09-18,NCR,NCR1 Metro Manila West,9,41,37
2024-09-18,NCR,NCR1 Metro Manila West,11,61,53
2024-09-18,NCR,NCR1 Metro Manila West,13,45,38
2024-09-18,NCR,NCR1 Metro Manila West,434,90,69
2024-09-18,NCR,NCR1 Metro Manila West,1707,82,72
2024-09-18,NCR,NCR1 Metro Manila West,1770,38,30
2024-09-18,NCR,NCR1 Metro Manila West,2180,47,34
2024-09-18,NCR,NCR1 Metro Manila West,2266,92,73
2024-09-18,NCR,NCR1 Metro Manila West,3062,59,51
2024-09-18,NCR,NCR2 Metro Manila East,7,98,76
2024-09-18,NCR,NCR2 Metro Manila East,18,73,57
2024-09-18,NCR,NCR2 Metro Manila East,19,51,43
2024-09-18,NCR,NCR2 Metro Manila East,1232,40,32
2024-09-18,NCR,NCR2 Metro Manila East,1242,79,61
2024-09-18,NCR,NCR2 Metro Manila East,1365,78,66
2024-09-18,NCR,NCR2 Metro Manila East,2201,83,72
2024-09-18,NCR,NCR2 Metro Manila East,2384,47,41
2024-09-18,NCR,NCR2 Metro Manila East,2647,49,41
2024-09-18,NCR,NCR2 Metro Manila East,2680,41,32
2024-09-18,NOL,NOL5 Bulacan,903,75,63
2024-09-18,SOL,SOL1 Laguna/Tanay,20,71,60
2024-09-18,SOL,SOL2 Cavite,273,37,31
2024-09-18,SOL,SOL2 Cavite,1476,37,31
2024-09-18,SOL,SOL2 Cavite,1705,49,39
2024-09-18,SOL,SOL2 Cavite,2268,63,55
2024-09-19,NCR,NCR1 Metro Manila West,9,62,48
2024-09-19,NCR,NCR1 Metro Manila West,11,58,44
2024-09-19,NCR,NCR1 Metro Manila West,13,58,50
2024-09-19,NCR,NCR1 Metro Manila West,434,93,76
2024-09-19,NCR,NCR1 Metro Manila West,1707,65,55
2024-09-19,NCR,NCR1 Metro Manila West,1770,47,39
2024-09-19,NCR,NCR1 Metro Manila West,2180,56,47
2024-09-19,NCR,NCR1 Metro Manila West,2266,99,86
2024-09-19,NCR,NCR1 Metro Manila West,3062,40,34
2024-09-19,NCR,NCR2 Metro Manila East,7,123,90
2024-09-19,NCR,NCR2 Metro Manila East,18,66,54
